network,group,members,size,degree
network_031,18,8;9,2,10
network_031,19,9;10,2,9
network_031,20,10;11,2,5
network_031,21,0;1;2,3,13
network_031,22,0;2;3,3,15
network_031,23,0;2;8,3,15
network_031,24,0;3;9,3,16
network_031,25,0;8;9,3,16
network_031,26,5;10;11,3,7
network_032,0,0;1,2,12
network_032,1,0;2,2,12
network_032,2,0;3,2,11
network_032,3,0;11,2,10
network_032,4,1;2,2,13
network_032,5,1;3,2,12
network_032,6,1;9,2,10
network_032,7,1;11,2,11
network_032,8,2;3,2,11
network_032,9,2;7,2,10
network_032,10,2;10,2,9
network_032,11,3;4,2,7
network_032,12,4;5,2,2
network_032,13,5;6,2,2
network_032,14,6;7,2,4
network_032,15,7;8,2,4
network_032,16,7;11,2,7
network_032,17,8;9,2,3
network_032,18,9;10,2,4
network_032,19,10;11,2,6
network_032,20,0;1;2,3,15
network_032,21,0;1;3,3,14
network_032,22,0;1;11,3,14
network_032,23,0;2;3,3,14
network_032,24,1;2;3,3,15
network_033,0,0;1,2,4
network_033,1,0;11,2,4
network_033,2,1;2,2,4
network_033,3,1;3,2,5
network_033,4,2;3,2,4
network_033,5,3;4,2,4
network_033,6,4;5,2,4
network_033,7,5;6,2,5
network_033,8,5;7,2,5
network_033,9,6;7,2,5
network_033,10,6;10,2,8
network_033,11,7;8,2,8
network_033,12,8;9,2,6
network_033,13,8;10,2,8
network_033,14,8;11,2,7
network_033,15,9;10,2,6
network_033,16,10;11,2,7
network_033,17,1;2;3,3,5
network_033,18,5;6;7,3,6
network_033,19,8;9;10,3,8
network_033,20,8;10;11,3,9
network_034,0,0;1,2,12
network_034,1,0;8,2,8
network_034,2,0;10,2,9
network_034,3,0;11,2,9
network_034,4,1;2,2,9
network_034,5,1;4,2,10
network_034,6,1;5,2,10
network_034,7,1;9,2,12
network_034,8,1;10,2,12
network_034,9,2;3,2,5
network_034,10,3;4,2,7
network_034,11,3;7,2,9
network_034,12,3;11,2,8
network_034,13,4;5,2,5
network_034,14,5;6,2,4
network_034,15,6;7,2,7
network_034,16,7;8,2,8
network_034,17,7;9,2,10
network_034,18,7;11,2,10
network_034,19,8;9,2,7
network_034,20,9;10,2,10
network_034,21,10;11,2,10
network_034,22,0;1;10,3,14
network_034,23,0;10;11,3,12
network_034,24,1;4;5,3,11
network_034,25,1;9;10,3,15
network_034,26,3;7;11,3,12
network_034,27,7;8;9,3,11
network_035,0,0;1,2,13
network_035,1,0;2,2,16
network_035,2,0;5,2,11
network_035,3,0;9,2,11
network_035,4,0;10,2,11
network_035,5,0;11,2,11
network_035,6,1;2,2,12
network_035,7,1;4,2,9
network_035,8,1;6,2,8
network_035,9,2;3,2,11
network_035,10,2;4,2,12
network_035,11,2;8,2,11
network_035,12,2;11,2,12
network_035,13,3;4,2,7
network_035,14,3;6,2,6
network_035,15,4;5,2,7
network_035,16,5;6,2,5
network_035,17,6;7,2,4
network_035,18,7;8,2,3
network_035,19,8;9,2,5
network_035,20,9;10,2,6
network_035,21,10;11,2,7
network_035,22,0;1;2,3,18
network_035,23,0;2;11,3,17
network_035,24,0;9;10,3,12
network_035,25,0;10;11,3,12
network_035,26,1;2;4,3,14
network_035,27,2;3;4,3,13
network_036,0,0;1,2,9
network_036,1,0;2,2,9
network_036,2,0;3,2,10
network_036,3,0;11,2,9
network_036,4,1;2,2,8
network_036,5,1;3,2,9
network_036,6,2;3,2,9
network_036,7,3;4,2,9
network_036,8,4;5,2,6
network_036,9,4;7,2,7
network_036,10,5;6,2,6
network_036,11,5;7,2,7
network_036,12,6;7,2,7
network_036,13,6;10,2,8
network_036,14,7;8,2,8
network_036,15,8;9,2,6
network_036,16,8;10,2,7
network_036,17,9;10,2,7
network_036,18,9;11,2,6
network_036,19,10;11,2,7
network_036,20,0;1;2,3,10
network_036,21,0;1;3,3,11
network_036,22,0;2;3,3,11
network_036,23,1;2;3,3,10
network_036,24,4;5;7,3,8
network_036,25,5;6;7,3,8
network_036,26,8;9;10,3,8
network_036,27,9;10;11,3,8
network_037,0,0;1,2,5
network_037,1,0;9,2,14
network_037,2,0;11,2,5
network_037,3,1;2,2,8
network_037,4,1;11,2,5
network_037,5,2;3,2,9
network_037,6,2;4,2,8
network_037,7,2;9,2,15
network_037,8,3;4,2,9
network_037,9,3;7,2,11
network_037,10,3;9,2,15
network_037,11,4;5,2,5
network_037,12,4;8,2,9
network_037,13,5;6,2,4
network_037,14,6;7,2,8
network_037,15,6;9,2,13
network_037,16,7;8,2,10
network_037,17,7;9,2,14
network_037,18,8;9,2,14
network_037,19,8;10,2,7
network_037,20,9;10,2,13
network_037,21,10;11,2,6
network_037,22,0;1;11,3,6
network_037,23,2;3;4,3,11
network_037,24,2;3;9,3,17
network_037,25,3;7;9,3,17
network_037,26,6;7;9,3,15
network_037,27,7;8;9,3,16
network_037,28,8;9;10,3,15
network_038,0,0;1,2,15
network_038,1,0;4,2,9
network_038,2,0;5,2,9
network_038,3,0;11,2,9
network_038,4,1;2,2,15
network_038,5,1;3,2,18
network_038,6,1;6,2,15
network_038,7,1;7,2,12
network_038,8,1;11,2,14
network_038,9,2;3,2,14
network_038,10,2;6,2,13
network_038,11,2;9,2,12
network_038,12,3;4,2,15
network_038,13,3;6,2,16
network_038,14,3;8,2,12
network_038,15,3;9,2,14
network_038,16,4;5,2,8
network_038,17,4;11,2,9
network_038,18,5;6,2,12
network_038,19,5;9,2,10
network_038,20,6;7,2,10
network_038,21,7;8,2,6
network_038,22,8;9,2,8
network_038,23,9;10,2,7
network_038,24,10;11,2,6
network_038,25,0;1;11,3,17
network_038,26,0;4;5,3,11
network_038,27,0;4;11,3,11
network_038,28,1;2;3,3,20
network_038,29,1;2;6,3,18
network_038,30,1;3;6,3,21
network_038,31,1;6;7,3,16
network_038,32,2;3;6,3,18
network_038,33,2;3;9,3,17
network_038,34,3;8;9,3,15
network_039,0,0;1,2,6
network_039,1,0;2,2,7
network_039,2,0;10,2,8
network_039,3,0;11,2,10
network_039,4,1;2,2,4
network_039,5,2;3,2,4
network_039,6,3;4,2,6
network_039,7,4;5,2,6
network_039,8,4;6,2,7
network_039,9,4;7,2,7
network_039,10,5;6,2,5
network_039,11,6;7,2,6
network_039,12,7;8,2,6
network_039,13,8;9,2,6
network_039,14,8;11,2,8
network_039,15,9;10,2,7
network_039,16,9;11,2,8
network_039,17,10;11,2,8
network_039,18,0;1;2,3,7
network_039,19,0;10;11,3,11
network_039,20,4;5;6,3,7
network_039,21,4;6;7,3,8
network_039,22,8;9;11,3,9
network_039,23,9;10;11,3,9
network_040,0,0;1,2,16
network_040,1,0;2,2,16
network_040,2,0;4,2,15
network_040,3,0;5,2,17
network_040,4,0;6,2,13
network_040,5,0;11,2,13
network_040,6,1;2,2,13
network_040,7,1;4,2,12
network_040,8,1;5,2,15
network_040,9,2;3,2,9
network_040,10,2;5,2,15
network_040,11,2;9,2,9
network_040,12,3;4,2,8
network_040,13,3;11,2,4
network_040,14,4;5,2,14
network_040,15,5;6,2,12
network_040,16,6;7,2,4
network_040,17,7;8,2,2
network_040,18,8;9,2,3
network_040,19,9;10,2,3
network_040,20,10;11,2,3
network_040,21,0;1;2,3,19
network_040,22,0;1;4,3,18
network_040,23,0;1;5,3,19
network_040,24,0;2;5,3,20
network_040,25,0;4;5,3,19
network_040,26,0;5;6,3,18
network_040,27,1;2;5,3,18
network_040,28,1;4;5,3,17
network_041,0,0;1,2,9
network_041,1,0;3,2,9
network_041,2,0;11,2,7
network_041,3,1;2,2,12
network_041,4,1;3,2,11
network_041,5,1;4,2,13
network_041,6,2;3,2,12
network_041,7,2;4,2,12
network_041,8,2;11,2,10
network_041,9,3;4,2,13
network_041,10,4;5,2,9
network_041,11,4;11,2,11
network_041,12,5;6,2,2
network_041,13,6;7,2,2
network_041,14,7;8,2,2
network_041,15,8;9,2,2
network_041,16,9;10,2,2
network_041,17,10;11,2,5
network_041,18,0;1;3,3,12
network_041,19,1;2;3,3,14
network_041,20,1;2;4,3,15
network_041,21,1;3;4,3,15
network_041,22,2;3;4,3,15
network_041,23,2;4;11,3,14
network_042,0,0;1,2,12
network_042,1,0;2,2,11
network_042,2,0;3,2,13
network_042,3,0;9,2,14
network_042,4,0;11,2,14
network_042,5,1;2,2,9
network_042,6,1;3,2,11
network_042,7,1;8,2,13
network_042,8,2;3,2,10
network_042,9,3;4,2,12
network_042,10,3;10,2,13
network_042,11,4;5,2,6
network_042,12,4;6,2,7
network_042,13,4;7,2,7
network_042,14,5;6,2,5
network_042,15,6;7,2,6
network_042,16,7;8,2,10
network_042,17,8;9,2,12
network_042,18,8;10,2,11
network_042,19,8;11,2,12
network_042,20,9;10,2,11
network_042,21,9;11,2,11
network_042,22,10;11,2,11
network_042,23,0;1;2,3,13
network_042,24,0;1;3,3,15
network_042,25,0;2;3,3,14
network_042,26,0;9;11,3,17
network_042,27,1;2;3,3,12
network_042,28,4;5;6,3,7
network_042,29,4;6;7,3,8
network_042,30,8;9;10,3,14
network_042,31,8;9;11,3,14
network_042,32,8;10;11,3,14
network_042,33,9;10;11,3,13
network_043,0,0;1,2,8
network_043,1,0;9,2,7
network_043,2,0;11,2,4
network_043,3,1;2,2,8
network_043,4,1;4,2,8
network_043,5,1;8,2,8
network_043,6,1;9,2,9
network_043,7,2;3,2,4
network_043,8,2;6,2,4
network_043,9,3;4,2,4
network_043,10,3;7,2,4
network_043,11,4;5,2,3
network_043,12,5;6,2,3
network_043,13,6;7,2,4
network_043,14,7;8,2,5
network_043,15,8;9,2,7
network_043,16,9;10,2,6
network_043,17,10;11,2,2
network_043,18,0;1;9,3,10
network_043,19,1;8;9,3,10
network_044,0,0;1,2,13
network_044,1,0;2,2,9
network_044,2,0;3,2,12
network_044,3,0;11,2,11
network_044,4,1;2,2,11
network_044,5,1;5,2,11
network_044,6,1;10,2,11
network_044,7,1;11,2,12
network_044,8,2;3,2,10
network_044,9,3;4,2,9
network_044,10,3;8,2,10
network_044,11,3;11,2,12
network_044,12,4;5,2,7
network_044,13,4;8,2,6
network_044,14,5;6,2,5
network_044,15,5;10,2,8
network_044,16,6;7,2,2
network_044,17,7;8,2,5
network_044,18,8;9,2,5
network_044,19,9;10,2,6
network_044,20,10;11,2,10
network_044,21,0;1;2,3,14
network_044,22,0;1;11,3,15
network_044,23,0;2;3,3,13
network_044,24,0;3;11,3,15
network_044,25,1;5;10,3,13
network_044,26,1;10;11,3,14
network_044,27,3;4;8,3,11
network_045,0,0;1,2,3
network_045,1,0;3,2,4
network_045,2,0;11,2,8
network_045,3,1;2,2,2
network_045,4,2;3,2,3
network_045,5,3;4,2,5
network_045,6,4;5,2,6
network_045,7,4;6,2,6
network_045,8,5;6,2,6
network_045,9,5;7,2,6
network_045,10,6;7,2,6
network_045,11,7;8,2,9
network_045,12,8;9,2,9
network_045,13,8;10,2,9
network_045,14,8;11,2,10
network_045,15,9;10,2,8
network_045,16,9;11,2,9
network_045,17,10;11,2,9
network_045,18,4;5;6,3,7
network_045,19,5;6;7,3,7
network_045,20,8;9;10,3,10
network_045,21,8;9;11,3,11
network_045,22,8;10;11,3,11
network_045,23,9;10;11,3,10
network_046,0,0;1,2,9
network_046,1,0;10,2,6
network_046,2,0;11,2,7
network_046,3,1;2,2,7
network_046,4,1;3,2,10
network_046,5,1;7,2,10
network_046,6,1;8,2,10
network_046,7,2;3,2,6
network_046,8,3;4,2,10
network_046,9,3;11,2,9
network_046,10,4;5,2,7
network_046,11,4;7,2,10
network_046,12,4;8,2,10
network_046,13,4;11,2,10
network_046,14,5;6,2,3
network_046,15,6;7,2,7
network_046,16,6;10,2,6
network_046,17,7;8,2,8
network_046,18,8;9,2,6
network_046,19,9;10,2,5
network_046,20,10;11,2,8
network_046,21,0;10;11,3,9
network_046,22,1;2;3,3,10
network_046,23,1;7;8,3,12
network_046,24,3;4;11,3,13
network_046,25,4;7;8,3,12
network_047,0,0;1,2,9
network_047,1,0;2,2,12
network_047,2,0;3,2,10
network_047,3,0;4,2,11
network_047,4,0;11,2,10
network_047,5,1;2,2,7
network_047,6,2;3,2,9
network_047,7,2;6,2,8
network_047,8,2;10,2,8
network_047,9,3;4,2,8
network_047,10,4;5,2,7
network_047,11,4;11,2,7
network_047,12,5;6,2,4
network_047,13,5;8,2,4
network_047,14,6;7,2,3
network_047,15,7;8,2,3
network_047,16,8;9,2,3
network_047,17,9;10,2,3
network_047,18,10;11,2,5
network_047,19,0;1;2,3,12
network_047,20,0;2;3,3,13
network_047,21,0;3;4,3,12
network_047,22,0;4;11,3,12
network_048,0,0;1,2,9
network_048,1,0;2,2,9
network_048,2,0;3,2,10
network_048,3,0;11,2,12
network_048,4,1;2,2,8
network_048,5,1;3,2,9
network_048,6,2;3,2,9
network_048,7,3;4,2,9
network_048,8,4;5,2,6
network_048,9,4;6,2,6
network_048,10,5;6,2,6
network_048,11,5;7,2,6
network_048,12,6;7,2,6
network_048,13,7;8,2,9
network_048,14,8;9,2,9
network_048,15,8;10,2,9
network_048,16,8;11,2,10
network_048,17,9;10,2,8
network_048,18,9;11,2,9
network_048,19,10;11,2,9
network_048,20,0;1;2,3,10
network_048,21,0;1;3,3,11
network_048,22,0;2;3,3,11
network_048,23,1;2;3,3,10
network_048,24,4;5;6,3,7
network_048,25,5;6;7,3,7
network_048,26,8;9;10,3,10
network_048,27,8;9;11,3,11
network_048,28,8;10;11,3,11
network_048,29,9;10;11,3,10
network_049,0,0;1,2,7
network_049,1,0;4,2,8
network_049,2,0;7,2,11
network_049,3,0;11,2,8
network_049,4,1;2,2,8
network_049,5,1;5,2,4
network_049,6,2;3,2,8
network_049,7,2;8,2,9
network_049,8,2;9,2,11
network_049,9,2;11,2,10
network_049,10,3;4,2,7
network_049,11,3;9,2,9
network_049,12,4;5,2,6
network_049,13,4;7,2,11
network_049,14,5;6,2,3
network_049,15,6;7,2,9
network_049,16,7;8,2,11
network_049,17,7;9,2,14
network_049,18,7;11,2,11
network_049,19,8;9,2,9
network_049,20,9;10,2,8
network_049,21,10;11,2,5
network_049,22,0;4;7,3,13
network_049,23,0;7;11,3,13
network_049,24,2;3;9,3,12
network_049,25,2;8;9,3,12
network_049,26,7;8;9,3,15
network_050,0,0;1,2,10
network_050,1,0;2,2,18
network_050,2,0;5,2,10
network_050,3,0;10,2,10
network_050,4,0;11,2,12
network_050,5,1;2,2,15
network_050,6,1;3,2,10
network_050,7,2;3,2,17
network_050,8,2;6,2,16
network_050,9,2;8,2,16
network_050,10,2;9,2,18
network_050,11,2;11,2,18
network_050,12,3;4,2,8
network_050,13,3;6,2,10
network_050,14,3;8,2,11
network_050,15,4;5,2,4
network_050,16,5;6,2,7
network_050,17,5;9,2,10
network_050,18,6;7,2,5
network_050,19,7;8,2,6
network_050,20,8;9,2,11
network_050,21,9;10,2,10
network_050,22,9;11,2,12
network_050,23,10;11,2,9
network_050,24,0;1;2,3,19
network_050,25,0;2;11,3,21
network_050,26,0;10;11,3,13
network_050,27,1;2;3,3,18
network_050,28,2;3;6,3,19
network_050,29,2;3;8,3,19
network_050,30,2;8;9,3,20
network_050,31,2;9;11,3,21
network_050,32,9;10;11,3,13
network_051,0,0;1,2,12
network_051,1,0;2,2,11
network_051,2,0;3,2,12
network_051,3,0;4,2,15
network_051,4,0;11,2,10
network_051,5,1;2,2,9
network_051,6,1;3,2,11
network_051,7,1;6,2,12
network_051,8,2;3,2,10
network_051,9,3;4,2,14
network_051,10,4;5,2,11
network_051,11,4;6,2,12
network_051,12,4;7,2,13
network_051,13,5;6,2,9
network_051,14,5;7,2,10
network_051,15,6;7,2,11
network_051,16,7;8,2,8
network_051,17,7;11,2,9
network_051,18,8;9,2,2
network_051,19,9;10,2,2
network_051,20,10;11,2,3
network_051,21,0;1;2,3,13
network_051,22,0;1;3,3,14
network_051,23,0;2;3,3,13
network_051,24,0;3;4,3,18
network_051,25,1;2;3,3,12
network_051,26,4;5;6,3,13
network_051,27,4;5;7,3,14
network_051,28,4;6;7,3,15
network_051,29,5;6;7,3,12
network_052,0,0;1,2,6
network_052,1,0;2,2,13
network_052,2,0;7,2,11
network_052,3,0;11,2,6
network_052,4,1;2,2,12
network_052,5,1;6,2,8
network_052,6,2;3,2,13
network_052,7,2;4,2,19
network_052,8,2;5,2,14
network_052,9,2;9,2,12
network_052,10,2;10,2,12
network_052,11,3;4,2,13
network_052,12,3;7,2,10
network_052,13,4;5,2,14
network_052,14,4;6,2,14
network_052,15,4;7,2,15
network_052,16,4;8,2,13
network_052,17,5;6,2,9
network_052,18,5;11,2,7
network_052,19,6;7,2,11
network_052,20,7;8,2,9
network_052,21,8;9,2,6
network_052,22,9;10,2,5
network_052,23,10;11,2,5
network_052,24,0;1;2,3,14
network_052,25,2;3;4,3,20
network_052,26,2;4;5,3,21
network_052,27,2;9;10,3,13
network_052,28,3;4;7,3,16
network_052,29,4;5;6,3,16
network_052,30,4;6;7,3,17
network_052,31,4;7;8,3,16
network_053,0,0;1,2,26
network_053,1,0;2,2,16
network_053,2,0;3,2,21
network_053,3,0;7,2,22
network_053,4,0;10,2,17
network_053,5,0;11,2,16
network_053,6,1;2,2,21
network_053,7,1;3,2,25
network_053,8,1;4,2,22
network_053,9,1;6,2,20
network_053,10,1;7,2,25
network_053,11,1;10,2,22
network_053,12,1;11,2,21
network_053,13,2;3,2,14
network_053,14,3;4,2,15
network_053,15,3;7,2,19
network_053,16,4;5,2,7
network_053,17,4;7,2,15
network_053,18,5;6,2,4
network_053,19,6;7,2,13
network_053,20,7;8,2,12
network_053,21,8;9,2,2
network_053,22,9;10,2,7
network_053,23,10;11,2,9
network_053,24,0;1;2,3,27
network_053,25,0;1;3,3,30
network_053,26,0;1;7,3,31
network_053,27,0;1;10,3,28
network_053,28,0;1;11,3,27
network_053,29,0;2;3,3,22
network_053,30,0;3;7,3,27
network_053,31,0;10;11,3,18
network_053,32,1;2;3,3,26
network_053,33,1;3;4,3,27
network_053,34,1;3;7,3,29
network_053,35,1;4;7,3,27
network_053,36,1;6;7,3,26
network_053,37,1;10;11,3,23
network_053,38,3;4;7,3,21
network_054,0,0;1,2,12
network_054,1,0;2,2,13
network_054,2,0;3,2,13
network_054,3,0;10,2,15
network_054,4,0;11,2,16
network_054,5,1;2,2,10
network_054,6,1;3,2,9
network_054,7,2;3,2,11
network_054,8,2;11,2,15
network_054,9,3;4,2,11
network_054,10,4;5,2,6
network_054,11,4;6,2,7
network_054,12,4;7,2,7
network_054,13,5;6,2,5
network_054,14,6;7,2,6
network_054,15,7;8,2,9
network_054,16,8;9,2,9
network_054,17,8;10,2,11
network_054,18,8;11,2,13
network_054,19,9;10,2,10
network_054,20,9;11,2,12
network_054,21,10;11,2,13
network_054,22,0;1;2,3,14
network_054,23,0;1;3,3,14
network_054,24,0;2;3,3,15
network_054,25,0;2;11,3,19
network_054,26,0;10;11,3,19
network_054,27,1;2;3,3,12
network_054,28,4;5;6,3,7
network_054,29,4;6;7,3,8
network_054,30,8;9;10,3,12
network_054,31,8;9;11,3,14
network_054,32,8;10;11,3,15
network_054,33,9;10;11,3,14
network_055,0,0;1,2,11
network_055,1,0;5,2,11
network_055,2,0;6,2,13
network_055,3,0;7,2,14
network_055,4,0;11,2,10
network_055,5,1;2,2,6
network_055,6,1;3,2,11
network_055,7,1;6,2,13
network_055,8,2;3,2,8
network_055,9,3;4,2,9
network_055,10,3;8,2,11
network_055,11,3;9,2,18
network_055,12,4;5,2,8
network_055,13,4;8,2,8
network_055,14,5;6,2,12
network_055,15,5;9,2,16
network_055,16,6;7,2,15
network_055,17,6;9,2,19
network_055,18,7;8,2,13
network_055,19,7;9,2,17
network_055,20,7;10,2,11
network_055,21,8;9,2,16
network_055,22,9;10,2,14
network_055,23,9;11,2,14
network_055,24,10;11,2,6
network_055,25,0;1;6,3,16
network_055,26,0;5;6,3,15
network_055,27,0;6;7,3,18
network_055,28,1;2;3,3,11
network_055,29,3;4;8,3,12
network_055,30,3;8;9,3,20
network_055,31,5;6;9,3,21
network_055,32,6;7;9,3,22
network_055,33,7;8;9,3,20
network_055,34,7;9;10,3,18
network_055,35,9;10;11,3,15
network_056,0,0;1,2,26
network_056,1,0;2,2,23
network_056,2,0;3,2,26
network_056,3,0;7,2,18
network_056,4,0;8,2,18
network_056,5,0;9,2,24
network_056,6,0;11,2,23
network_056,7,1;2,2,20
network_056,8,1;3,2,23
network_056,9,1;4,2,15
network_056,10,1;5,2,16
network_056,11,1;9,2,23
network_056,12,2;3,2,21
network_056,13,2;5,2,14
network_056,14,2;11,2,18
network_056,15,3;4,2,17
network_056,16,3;9,2,23
network_056,17,3;11,2,21
network_056,18,4;5,2,8
network_056,19,5;6,2,6
network_056,20,6;7,2,4
network_056,21,7;8,2,6
network_056,22,8;9,2,15
network_056,23,9;10,2,13
network_056,24,9;11,2,19
network_056,25,10;11,2,11
network_056,26,0;1;2,3,30
network_056,27,0;1;3,3,32
network_056,28,0;1;9,3,32
network_056,29,0;2;3,3,30
network_056,30,0;2;11,3,28
network_056,31,0;3;9,3,31
network_056,32,0;3;11,3,30
network_056,33,0;7;8,3,19
network_056,34,0;8;9,3,25
network_056,35,0;9;11,3,28
network_056,36,1;2;3,3,27
network_056,37,1;2;5,3,22
network_056,38,1;3;4,3,24
network_056,39,1;3;9,3,30
network_056,40,1;4;5,3,17
network_056,41,2;3;11,3,26
network_056,42,3;9;11,3,27
network_056,43,9;10;11,3,19
network_057,0,0;1,2,4
network_057,1,0;3,2,4
network_057,2,0;11,2,7
network_057,3,1;2,2,3
network_057,4,1;9,2,7
network_057,5,2;3,2,3
network_057,6,3;4,2,5
network_057,7,4;5,2,6
network_057,8,4;6,2,6
network_057,9,5;6,2,6
network_057,10,5;7,2,6
network_057,11,6;7,2,6
network_057,12,7;8,2,6
network_057,13,8;9,2,7
network_057,14,8;11,2,7
network_057,15,9;10,2,6
network_057,16,9;11,2,8
network_057,17,10;11,2,6
network_057,18,4;5;6,3,7
network_057,19,5;6;7,3,7
network_057,20,8;9;11,3,9
network_057,21,9;10;11,3,8
network_058,0,0;1,2,8
network_058,1,0;2,2,9
network_058,2,0;9,2,8
network_058,3,0;11,2,10
network_058,4,1;2,2,9
network_058,5,1;4,2,7
network_058,6,1;8,2,7
network_058,7,2;3,2,9
network_058,8,2;11,2,10
network_058,9,3;4,2,7
network_058,10,3;8,2,7
network_058,11,3;11,2,9
network_058,12,4;5,2,5
network_058,13,4;9,2,6
network_058,14,5;6,2,3
network_058,15,5;11,2,8
network_058,16,6;7,2,3
network_058,17,7;8,2,5
network_058,18,7;10,2,4
network_058,19,8;9,2,6
network_058,20,9;10,2,5
network_058,21,10;11,2,8
network_058,22,0;1;2,3,11
network_058,23,0;2;11,3,12
network_058,24,2;3;11,3,12
network_059,0,0;1,2,15
network_059,1,0;2,2,15
network_059,2,0;6,2,11
network_059,3,0;11,2,14
network_059,4,1;2,2,17
network_059,5,1;3,2,17
network_059,6,1;7,2,12
network_059,7,1;9,2,16
network_059,8,1;11,2,18
network_059,9,2;3,2,17
network_059,10,2;4,2,14
network_059,11,2;8,2,12
network_059,12,2;11,2,18
network_059,13,3;4,2,12
network_059,14,3;9,2,13
network_059,15,3;10,2,11
network_059,16,4;5,2,8
network_059,17,4;9,2,11
network_059,18,5;6,2,7
network_059,19,5;11,2,12
network_059,20,6;7,2,7
network_059,21,6;11,2,13
network_059,22,7;8,2,4
network_059,23,8;9,2,9
network_059,24,9;10,2,9
network_059,25,10;11,2,13
network_059,26,0;1;2,3,20
network_059,27,0;1;11,3,20
network_059,28,0;2;11,3,20
network_059,29,0;6;11,3,16
network_059,30,1;2;3,3,22
network_059,31,1;2;11,3,23
network_059,32,1;3;9,3,20
network_059,33,2;3;4,3,19
network_059,34,3;4;9,3,15
network_059,35,3;9;10,3,14
network_059,36,5;6;11,3,14
network_060,0,0;1,2,9
network_060,1,0;2,2,9
network_060,2,0;3,2,12
network_060,3,0;11,2,9
network_060,4,1;2,2,8
network_060,5,1;3,2,11
network_060,6,2;3,2,11
network_060,7,3;4,2,14
network_060,8,3;6,2,14
network_060,9,4;5,2,10
network_060,10,4;6,2,11
network_060,11,4;7,2,11
network_060,12,5;6,2,10
network_060,13,5;7,2,9
network_060,14,6;7,2,11
network_060,15,7;8,2,11
network_060,16,8;9,2,6
network_060,17,8;10,2,7
network_060,18,8;11,2,7
network_060,19,9;10,2,5
network_060,20,10;11,2,6
network_060,21,0;1;2,3,10
network_060,22,0;1;3,3,13
network_060,23,0;2;3,3,13
network_060,24,1;2;3,3,12
network_060,25,3;4;6,3,17
network_060,26,4;5;6,3,12
network_060,27,4;5;7,3,12
network_060,28,4;6;7,3,13
network_060,29,5;6;7,3,12
network_060,30,8;9;10,3,7
network_060,31,8;10;11,3,8
network_061,0,0;1,2,5
network_061,1,0;11,2,9
network_061,2,1;2,2,6
network_061,3,1;8,2,12
network_061,4,1;11,2,11
network_061,5,2;3,2,9
network_061,6,2;10,2,10
network_061,7,3;4,2,11
network_061,8,3;8,2,14
network_061,9,3;9,2,17
network_061,10,3;11,2,14
network_061,11,4;5,2,7
network_061,12,4;7,2,12
network_061,13,4;9,2,16
network_061,14,5;6,2,3
network_061,15,5;11,2,10
network_061,16,6;7,2,9
network_061,17,7;8,2,14
network_061,18,7;9,2,18
network_061,19,7;10,2,14
network_061,20,8;9,2,18
network_061,21,8;10,2,14
network_061,22,9;10,2,18
network_061,23,9;11,2,19
network_061,24,10;11,2,15
network_061,25,0;1;11,3,11
network_061,26,3;4;9,3,19
network_061,27,3;8;9,3,21
network_061,28,3;9;11,3,22
network_061,29,4;7;9,3,20
network_061,30,7;8;9,3,21
network_061,31,7;8;10,3,18
network_061,32,7;9;10,3,21
network_061,33,8;9;10,3,21
network_061,34,9;10;11,3,23
network_062,0,0;1,2,18
network_062,1,0;2,2,17
network_062,2,0;5,2,15
network_062,3,0;6,2,12
network_062,4,0;8,2,14
network_062,5,0;11,2,12
network_062,6,1;2,2,17
network_062,7,1;3,2,14
network_062,8,1;7,2,13
network_062,9,1;8,2,13
network_062,10,1;10,2,13
network_062,11,2;3,2,13
network_062,12,2;4,2,12
network_062,13,2;5,2,15
network_062,14,3;4,2,10
network_062,15,3;7,2,10
network_062,16,4;5,2,12
network_062,17,4;10,2,8
network_062,18,5;6,2,10
network_062,19,5;11,2,10
network_062,20,6;7,2,8
network_062,21,7;8,2,9
network_062,22,8;9,2,6
network_062,23,9;10,2,4
network_062,24,10;11,2,6
network_062,25,0;1;2,3,23
network_062,26,0;1;8,3,20
network_062,27,0;2;5,3,20
network_062,28,0;5;6,3,16
network_062,29,0;5;11,3,16
network_062,30,1;2;3,3,19
network_062,31,1;3;7,3,16
network_062,32,1;7;8,3,15
network_062,33,2;3;4,3,15
network_062,34,2;4;5,3,17
network_063,0,0;1,2,6
network_063,1,0;3,2,7
network_063,2,0;11,2,6
network_063,3,1;2,2,5
network_063,4,1;3,2,7
network_063,5,2;3,2,6
network_063,6,3;4,2,8
network_063,7,4;5,2,6
network_063,8,4;7,2,7
network_063,9,5;6,2,5
network_063,10,5;7,2,7
network_063,11,6;7,2,6
network_063,12,7;8,2,10
network_063,13,8;9,2,6
network_063,14,8;10,2,7
network_063,15,8;11,2,7
network_063,16,9;10,2,5
network_063,17,10;11,2,6
network_063,18,0;1;3,3,8
network_063,19,1;2;3,3,7
network_063,20,4;5;7,3,8
network_063,21,5;6;7,3,7
network_063,22,8;9;10,3,7
network_063,23,8;10;11,3,8
network_064,0,0;1,2,5
network_064,1,0;11,2,4
network_064,2,1;2,2,7
network_064,3,1;8,2,10
network_064,4,1;9,2,9
network_064,5,2;3,2,5
network_064,6,2;10,2,10
network_064,7,3;4,2,5
network_064,8,3;10,2,10
network_064,9,4;5,2,6
network_064,10,4;8,2,9
network_064,11,5;6,2,7
