network,u,v
network_080,0,2
network_080,0,3
network_080,0,8
network_080,0,10
network_080,0,11
network_080,1,2
network_080,1,3
network_080,1,7
network_080,1,9
network_080,2,3
network_080,2,4
network_080,3,4
network_080,3,5
network_080,3,7
network_080,4,5
network_080,5,6
network_080,6,7
network_080,7,8
network_080,8,9
network_080,9,10
network_080,10,11
network_081,0,1
network_081,0,3
network_081,0,11
network_081,1,2
network_081,1,10
network_081,2,3
network_081,2,6
network_081,3,4
network_081,4,5
network_081,4,6
network_081,5,6
network_081,5,10
network_081,6,7
network_081,7,8
network_081,8,9
network_081,8,11
network_081,9,10
network_081,10,11
network_082,0,1
network_082,0,4
network_082,0,5
network_082,0,6
network_082,0,9
network_082,0,10
network_082,0,11
network_082,1,2
network_082,1,4
network_082,2,3
network_082,3,4
network_082,3,6
network_082,4,5
network_082,4,7
network_082,5,6
network_082,5,11
network_082,6,7
network_082,6,9
network_082,6,10
network_082,7,8
network_082,7,10
network_082,8,9
network_082,9,10
network_082,10,11
network_083,0,1
network_083,0,2
network_083,0,4
network_083,0,11
network_083,1,2
network_083,1,3
network_083,1,4
network_083,2,3
network_083,2,5
network_083,2,6
network_083,2,10
network_083,3,4
network_083,4,5
network_083,4,7
network_083,4,11
network_083,5,6
network_083,6,7
network_083,7,8
network_083,7,10
network_083,8,9
network_083,8,10
network_083,9,10
network_083,10,11
network_084,0,1
network_084,0,2
network_084,0,3
network_084,0,11
network_084,1,2
network_084,1,3
network_084,2,3
network_084,2,5
network_084,3,4
network_084,4,5
network_084,4,7
network_084,5,6
network_084,5,7
network_084,6,7
network_084,6,9
network_084,7,8
network_084,8,9
network_084,8,10
network_084,8,11
network_084,9,10
network_084,9,11
network_084,10,11
network_085,0,1
network_085,0,4
network_085,0,6
network_085,0,7
network_085,0,11
network_085,1,2
network_085,1,4
network_085,1,6
network_085,1,9
network_085,2,3
network_085,3,4
network_085,3,9
network_085,3,10
network_085,4,5
network_085,4,8
network_085,4,10
network_085,5,6
network_085,6,7
network_085,6,10
network_085,7,8
network_085,8,9
network_085,9,10
network_085,10,11
network_086,0,1
network_086,0,2
network_086,0,3
network_086,0,11
network_086,1,2
network_086,1,11
network_086,2,3
network_086,2,4
network_086,2,6
network_086,2,11
network_086,3,4
network_086,3,8
network_086,3,10
network_086,4,5
network_086,4,7
network_086,5,6
network_086,6,7
network_086,7,8
network_086,7,9
network_086,8,9
network_086,8,10
network_086,9,10
network_086,10,11
network_087,0,1
network_087,0,2
network_087,0,3
network_087,0,5
network_087,0,10
network_087,0,11
network_087,1,2
network_087,1,10
network_087,2,3
network_087,3,4
network_087,4,5
network_087,4,6
network_087,4,7
network_087,5,6
network_087,6,7
network_087,7,8
network_087,8,9
network_087,8,10
network_087,8,11
network_087,9,10
network_087,10,11
network_088,0,1
network_088,0,11
network_088,1,2
network_088,1,4
network_088,1,8
network_088,2,3
network_088,2,5
network_088,2,9
network_088,2,10
network_088,3,4
network_088,3,5
network_088,3,7
network_088,4,5
network_088,4,8
network_088,4,9
network_088,4,11
network_088,5,6
network_088,5,8
network_088,5,10
network_088,6,7
network_088,7,8
network_088,8,9
network_088,8,10
network_088,9,10
network_088,9,11
network_088,10,11
network_089,0,1
network_089,0,2
network_089,0,9
network_089,0,11
network_089,1,2
network_089,1,3
network_089,1,9
network_089,2,3
network_089,2,8
network_089,2,10
network_089,3,4
network_089,3,10
network_089,3,11
network_089,4,5
network_089,4,8
network_089,5,6
network_089,6,7
network_089,7,8
network_089,8,9
network_089,8,10
network_089,8,11
network_089,9,10
network_089,10,11
network_090,0,1
network_090,0,2
network_090,0,3
network_090,0,11
network_090,1,2
network_090,2,3
network_090,3,4
network_090,4,5
network_090,4,6
network_090,5,6
network_090,5,7
network_090,6,7
network_090,6,10
network_090,7,8
network_090,8,9
network_090,8,11
network_090,9,10
network_090,9,11
network_090,10,11
network_091,0,1
network_091,0,5
network_091,0,8
network_091,0,9
network_091,0,11
network_091,1,2
network_091,1,3
network_091,1,10
network_091,2,3
network_091,2,4
network_091,3,4
network_091,4,5
network_091,4,7
network_091,5,6
network_091,6,7
network_091,6,9
network_091,7,8
network_091,8,9
network_091,9,10
network_091,9,11
network_091,10,11
network_092,0,1
network_092,0,2
network_092,0,3
network_092,0,7
network_092,0,11
network_092,1,2
network_092,1,3
network_092,1,5
network_092,1,6
network_092,1,7
network_092,1,9
network_092,1,10
network_092,1,11
network_092,2,3
network_092,3,4
network_092,3,6
network_092,3,7
network_092,3,10
network_092,4,5
network_092,5,6
network_092,5,8
network_092,6,7
network_092,7,8
network_092,8,9
network_092,9,10
network_092,10,11
network_093,0,1
network_093,0,6
network_093,0,11
network_093,1,2
network_093,1,3
network_093,2,3
network_093,3,4
network_093,3,9
network_093,4,5
network_093,4,6
network_093,4,7
network_093,5,6
network_093,5,7
network_093,5,10
network_093,6,7
network_093,6,8
network_093,7,8
network_093,8,9
network_093,9,10
network_093,10,11
network_094,0,1
network_094,0,2
network_094,0,5
network_094,0,11
network_094,1,2
network_094,2,3
network_094,3,4
network_094,3,6
network_094,3,7
network_094,3,8
network_094,3,10
network_094,4,5
network_094,5,6
network_094,5,7
network_094,6,7
network_094,6,9
network_094,7,8
network_094,8,9
network_094,9,10
network_094,10,11
network_095,0,1
network_095,0,2
network_095,0,3
network_095,0,10
network_095,0,11
network_095,1,2
network_095,1,3
network_095,1,5
network_095,1,7
network_095,1,11
network_095,2,3
network_095,2,4
network_095,2,7
network_095,3,4
network_095,3,11
network_095,4,5
network_095,5,6
network_095,5,11
network_095,6,7
network_095,7,8
network_095,8,9
network_095,9,10
network_095,10,11
network_096,0,1
network_096,0,3
network_096,0,11
network_096,1,2
network_096,1,3
network_096,1,5
network_096,2,3
network_096,2,9
network_096,3,4
network_096,4,5
network_096,4,6
network_096,4,7
network_096,5,6
network_096,5,10
network_096,6,7
network_096,7,8
network_096,8,9
network_096,8,10
network_096,8,11
network_096,9,10
network_096,9,11
network_096,10,11
network_097,0,1
network_097,0,5
network_097,0,10
network_097,0,11
network_097,1,2
network_097,1,3
network_097,1,6
network_097,2,3
network_097,2,6
network_097,2,9
network_097,2,10
network_097,2,11
network_097,3,4
network_097,3,8
network_097,3,10
network_097,4,5
network_097,4,6
network_097,5,6
network_097,5,11
network_097,6,7
network_097,6,8
network_097,7,8
network_097,8,9
network_097,8,11
network_097,9,10
network_097,9,11
network_097,10,11
network_098,0,1
network_098,0,2
network_098,0,11
network_098,1,2
network_098,1,3
network_098,1,4
network_098,1,5
network_098,1,10
network_098,2,3
network_098,3,4
network_098,3,7
network_098,3,10
network_098,4,5
network_098,5,6
network_098,6,7
network_098,7,8
network_098,8,9
network_098,9,10
network_098,10,11
network_099,0,1
network_099,0,3
network_099,0,11
network_099,1,2
network_099,1,3
network_099,2,3
network_099,3,4
network_099,4,5
network_099,4,6
network_099,5,6
network_099,5,7
network_099,6,7
network_099,7,8
network_099,8,9
network_099,8,11
network_099,9,10
network_099,9,11
network_099,10,11
network_100,0,1
network_100,0,2
network_100,0,5
network_100,0,10
network_100,0,11
network_100,1,2
network_100,1,9
network_100,1,10
network_100,2,3
network_100,2,5
network_100,2,9
network_100,2,11
network_100,3,4
network_100,3,11
network_100,4,5
network_100,4,7
network_100,4,8
network_100,5,6
network_100,5,9
network_100,5,10
network_100,6,7
network_100,7,8
network_100,7,10
network_100,8,9
network_100,9,10
network_100,10,11
